"id","user_created","date_created","user_updated","date_updated","sequence_number","title","guideline","level","sort","min_word","max_word","template_id","type","answer_type","parent_id","role_area_id","status","order","question_type","title_hn","guideline_hn","display_in_report","ans_inp_type"
3665,NULL,NULL,NULL,NULL,NULL,"School Governance and Leadership",NULL,"1","1",NULL,NULL,27,"section_head",NULL,NULL,2,NULL,NULL,"single",NULL,NULL,0,NULL
3666,NULL,NULL,NULL,NULL,"1","Preliminary information","This section contains preliminary information regarding the focus group.","2","1",NULL,NULL,27,"sub_section_head","manual",3665,2,NULL,NULL,"single",NULL,NULL,1,NULL
3667,NULL,NULL,NULL,NULL,"1.1","Executive Summary/Abstract",NULL,"3","1","1","500",27,"question","manual",3666,2,NULL,NULL,"single",NULL,NULL,1,NULL
3668,NULL,NULL,NULL,NULL,"1.2","Process of consultations followed by the State or the National level Focus Groups  including number of consultations, meetings, collaborations, participants etc.",NULL,"3","2",NULL,NULL,27,"question","auto",3666,2,NULL,NULL,"single",NULL,NULL,0,NULL
3669,NULL,NULL,NULL,NULL,"1.3","A Brief of Mobile app-based/MyGov Survey and District Level Consultations conducted by the States or UTs or NCERT","Brief on School Governance and Leadership","3","3","1","500",27,"question","manual",3666,2,NULL,NULL,"single",NULL,NULL,1,NULL
3670,NULL,NULL,NULL,NULL,"1.4","List of Members, Co-opted members and Special Invitees of the Focus Group",NULL,"3","4",NULL,NULL,27,"question","auto",3666,2,NULL,NULL,"single",NULL,NULL,0,NULL
3671,NULL,NULL,NULL,NULL,"1.5","Acknowledgements",NULL,"3","5","1","300",27,"question","manual",3666,2,NULL,NULL,"single",NULL,NULL,1,NULL
3672,NULL,NULL,NULL,NULL,"1.6","Content Outline/ Chapters",NULL,"3","6",NULL,NULL,27,"question","auto",3666,2,NULL,NULL,"single",NULL,NULL,0,NULL
3673,NULL,NULL,NULL,NULL,"2","Introduction",NULL,"2","2",NULL,NULL,27,"sub_section_head",NULL,3665,2,NULL,NULL,"single",NULL,NULL,1,NULL
3674,NULL,NULL,NULL,NULL,"2.1","Introduction to School Governance and Leadership","What is the present status/position regarding School Governance and Leadership? This also needs to include a brief on historical perspective and prevailing practices at the National or State or UT level","3","1","1","300",27,"question","manual",3673,2,NULL,NULL,"single",NULL,NULL,1,NULL
3675,NULL,NULL,NULL,NULL,"2.2","National Education Policy 2020 and School Governance and Leadership","Please respond to the NEP 2020 points on School Governance and Leadership, including any suggestions you may have regarding additions or modification. #1","3","2","1","300",27,"question","manual",3673,2,NULL,NULL,"single",NULL,NULL,1,NULL
3676,NULL,NULL,NULL,NULL,"2.3","Current Challenges","What are the problems currently faced in the School Governance and Leadership that must be addressed? #2","3","3","1","500",27,"question","manual",3673,2,NULL,NULL,"single",NULL,NULL,1,NULL
3677,NULL,NULL,NULL,NULL,"2.4","Addressing Current Challenges ","How can we ensure that the problems listed in 2.3 are addressed/overcome? What is currently being done well in School Governance and Leadership, and how can these present good practices/innovations/initiatives be strengthened/scaled up? #3 and #4","3","4","1","500",27,"question","manual",3673,2,NULL,NULL,"single",NULL,NULL,1,NULL
3678,NULL,NULL,NULL,NULL,"3","Criteria for Grouping Schools into Complexes","What should be the criteria for grouping schools into a complex? What considerations will inform the geographic area a school complex should cover? How can schools within a complex be accessible for all students (especially girls, young children and other vulnerable groups? #5","2","3","1","100",27,"question","manual",3665,2,NULL,NULL,"single",NULL,NULL,1,NULL
3679,NULL,NULL,NULL,NULL,"4","Infrastructural Requirement and Learning Resources","What kind of infrastructure and learning resources should be available in each school within a school complex? How will schools in the complex work out a method for sharing resources? How will teachers and students be given access to use these resources? What kinds of systems will be required to facilitate the movement of equipment and students within the school complex? #6","2","4","1","500",27,"question","manual",3665,2,NULL,NULL,"single",NULL,NULL,1,NULL
