"template_id","question_id"
7,24
8,24
9,24
19,24
20,24
25,24
32,24
6,24
7,25
9,25
11,25
12,25
13,25
14,25
15,25
16,25
17,25
19,25
20,25
21,25
22,25
23,25
25,25
26,25
27,25
28,25
29,25
30,25
31,25
6,25
10,25
8,26
14,26
21,26
27,26
28,26
8,27
21,27
25,27
27,27
30,27
8,28
19,28
27,28
30,28
8,29
14,29
19,29
25,29
27,29
7,30
17,30
23,30
25,30
27,30
32,30
8,31
9,31
11,31
12,31
13,31
14,31
17,31
19,31
25,31
27,31
7,32
25,32
26,32
27,32
8,33
9,33
19,33
25,33
8,34
9,34
25,34
28,34
29,34
8,35
11,35
12,35
13,35
14,35
15,35
25,35
28,35
29,35
8,36
13,36
25,36
27,36
7,37
8,37
13,37
17,37
25,37
27,37
32,37
8,38
13,38
7,39
8,39
17,39
25,39
27,39
7,40
8,40
11,40
16,40
19,40
25,40
27,40
30,40
32,40
7,41
8,41
9,41
19,41
20,41
25,41
32,41
7,42
8,42
9,42
11,42
12,42
13,42
14,42
15,42
17,42
19,42
20,42
23,42
25,42
27,42
28,42
32,42
7,43
8,43
9,43
11,43
12,43
13,43
14,43
15,43
17,43
19,43
20,43
23,43
25,43
27,43
28,43
32,43
7,44
8,44
9,44
11,44
12,44
13,44
14,44
15,44
17,44
19,44
20,44
23,44
25,44
27,44
28,44
32,44
7,45
8,45
9,45
11,45
12,45
13,45
14,45
15,45
17,45
19,45
20,45
23,45
25,45
27,45
28,45
32,45
7,46
8,46
9,46
11,46
12,46
13,46
14,46
15,46
16,46
17,46
19,46
20,46
23,46
25,46
27,46
28,46
32,46
7,47
8,47
9,47
11,47
12,47
13,47
14,47
15,47
17,47
19,47
20,47
23,47
25,47
27,47
28,47
32,47
7,48
8,48
9,48
11,48
12,48
13,48
14,48
15,48
17,48
19,48
20,48
23,48
25,48
27,48
28,48
32,48
7,49
8,49
9,49
11,49
12,49
13,49
14,49
15,49
17,49
19,49
20,49
23,49
25,49
27,49
28,49
32,49
7,50
8,50
9,50
11,50
12,50
13,50
14,50
15,50
17,50
19,50
20,50
21,50
23,50
25,50
27,50
28,50
32,50
7,51
8,51
9,51
11,51
12,51
13,51
14,51
15,51
17,51
19,51
20,51
23,51
25,51
27,51
32,51
7,52
8,52
9,52
11,52
12,52
13,52
14,52
15,52
17,52
19,52
20,52
23,52
25,52
27,52
28,52
32,52
7,53
8,53
9,53
11,53
12,53
13,53
14,53
15,53
17,53
19,53
20,53
21,53
23,53
25,53
27,53
28,53
32,53
7,54
8,54
9,54
11,54
12,54
13,54
14,54
15,54
17,54
19,54
20,54
23,54
25,54
27,54
28,54
32,54
7,55
8,55
9,55
11,55
12,55
13,55
14,55
15,55
17,55
19,55
20,55
23,55
25,55
27,55
28,55
32,55
7,56
8,56
9,56
11,56
12,56
13,56
14,56
15,56
17,56
19,56
20,56
23,56
25,56
27,56
28,56
32,56
7,57
8,57
9,57
11,57
12,57
13,57
14,57
15,57
17,57
19,57
20,57
23,57
25,57
27,57
28,57
32,57
7,58
8,58
9,58
11,58
12,58
13,58
14,58
15,58
17,58
19,58
20,58
23,58
25,58
27,58
28,58
32,58
7,59
8,59
9,59
11,59
12,59
13,59
14,59
15,59
17,59
19,59
20,59
23,59
25,59
27,59
28,59
32,59
7,60
8,60
9,60
11,60
12,60
13,60
14,60
15,60
17,60
19,60
20,60
23,60
25,60
27,60
28,60
32,60
7,61
25,61
27,61
7,62
25,62
27,62
32,62
7,63
8,63
9,63
11,63
12,63
13,63
14,63
15,63
17,63
19,63
20,63
23,63
25,63
27,63
28,63
32,63
7,88
25,88
27,88
7,89
25,89
27,89
7,90
25,90
27,90
7,91
8,91
20,91
25,91
27,91
7,92
8,92
20,92
25,92
27,92
7,93
8,93
20,93
25,93
27,93
7,94
8,94
20,94
25,94
27,94
7,95
8,95
25,95
27,95
7,95
8,95
25,95
27,95
7,96
8,96
14,96
25,96
27,96
7,97
8,97
14,97
17,97
25,97
27,97
7,98
8,98
14,98
17,98
25,98
27,98
7,99
8,99
14,99
17,99
25,99
27,99
7,100
8,100
14,100
17,100
23,100
25,100
27,100
32,100
7,122
8,122
25,122
27,122
7,123
25,123
27,123
7,124
8,124
25,124
27,124
8,125
25,125
27,125
7,126
8,126
25,126
27,126
7,127
8,127
25,127
27,127
32,127
7,128
8,128
27,128
32,128
7,129
8,129
25,129
27,129
32,129
7,130
8,130
25,130
27,130
32,130
7,131
8,131
25,131
27,131
8,152
25,152
27,152
32,152
8,153
25,153
27,153
32,153
8,154
25,154
27,154
32,154
8,155
25,155
27,155
32,155
8,156
25,156
27,156
32,156
8,157
25,157
27,157
32,157
8,158
25,158
27,158
32,158
8,159
25,159
27,159
32,159
8,160
25,160
27,160
32,160
8,161
25,161
27,161
32,161
